file_extension,description,offset,ascii,hex
rpm,RedHat Package Manager (RPM) package,0,....,ed ab ee db
bin,Amazon Kindle Update Package,0,SP01,53 50 30 31
PIF,WindowsProgram Information File,0,.,00 nn
SEA,MacStuffit Self-Extracting Archive,0,.,00 nn
YTR,IRISOCR data file,0,.,00 nn
PIC,IBM Storyboard bitmap file,0,.,00 nn
PDB,PalmPilot Database/Document File,11,........ ........ ........,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
DBA,Palm Desktop Calendar Archive,0,...,BE BA FE CA
DBA,Palm Desktop To Do Archive,0,..BD,00 01 42 44
TDA,Palm Desktop Calendar Archive,0,..DT,00 01 44 54
,Palm Desktop Data File (Access format),0,...,00 01 00 00
ico,Computer icon encoded inICO file format,0,....,00 00 01 00
3gp,3rd Generation Partnership Project3GPP,4,ftyp 3g,66 74 79 70 33 67
3g2,3GPP2 multimedia files,4,ftyp 3g,66 74 79 70 33 67
z,compressed file (often tar zip),0,..,1F 9D
tar.z,usingLempel-Ziv-Welch algorithm,0,..,1F 9D
z,Compressed file (often tar zip),0,..,1F A0
tar.z,usingLZH algorithm,0,..,1F A0
bac,File ortape containing abackup done withAmiBack on an Amiga. It typically is paired with an index file (idx) with the table of contents.,0,BACKMIKE DISK,42 41 43 4B 4D 49 4B 45 44 49 53 4B
bz2,Compressed file usingBzip2 algorithm,0,BZh,42 5A 68
gif,Image file encoded in theGraphics Interchange Format (GIF),0,GIF87aGIF89a,47 49 46 38 37 61 47 49 46 38 39 61
tif,Tagged Image File Format (little endian format),0,II*.MM.*,49 49 2A 00
tiff,Tagged Image File Format (little endian format),0,II*.MM.*,49 49 2A 00
tif,Tagged Image File Format (big endian format),0,II*.MM.*,4D 4D 00 2A
tiff,Tagged Image File Format (big endian format),0,II*.MM.*,4D 4D 00 2A
cr2,Canon's RAW format is based on the TIFF file format,0,II*..... CR,49 49 2A 00 10 00 00 00 43 52
cr2,Canon RAW Format Version 2,0,II*..... CR,49 49 2A 00 10 00 00 00 43 52
cin,KodakCineon image,0,.*_.,80 2A 5F D7
,Compressed file usingRob Northen Compression (version 1 and 2) algorithm,0,RNC.,52 4E 43 0152 4E 43 02
dpx,SMPTEDPX image (big endian format),0,SDPXXPDS,53 44 50 58
dpx,SMPTEDPX image (little endian format),0,SDPXXPDS,58 50 44 53
exr,OpenEXR image,0,v/1.,76 2F 31 01
